partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B02,B03,B04,B05,B06,B09,B10,B11,B12}|{B07}|{B08}",4,32,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",3,4
"{B01,B02,B03,B04,B05,B06,B07,B09,B10,B11}|{B08}|{B12}",5,33,1.0,"{""C"": 2, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",3,4
"{B01,B02,B03,B04,B05,B07,B09,B10,B11,B12}|{B06}|{B08}",5,33,1.0,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",3,4
"{B01,B03,B04,B05,B06,B07,B09,B10,B11,B12}|{B02}|{B08}",5,33,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",3,4
"{B01,B02,B03,B04,B05,B06,B07,B09,B10,B12}|{B08}|{B11}",5,34,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",3,5
"{B01,B02,B03,B04,B05,B06,B07,B09,B11,B12}|{B08}|{B10}",5,34,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",3,5
"{B01,B02,B03,B04,B05,B06,B07,B10,B11,B12}|{B08}|{B09}",5,34,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",3,5
"{B01,B02,B03,B04,B05,B06,B08,B10,B11,B12}|{B07}|{B09}",5,35,0.99621,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,6
"{B01,B02,B03,B04,B05,B06,B08,B09,B10,B12}|{B07}|{B11}",5,35,0.998366,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,6
"{B01,B02,B03,B04,B05,B06,B08,B09,B11,B12}|{B07}|{B10}",5,35,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,6
"{B01,B02,B03,B04,B05,B06,B09,B11,B12}|{B07,B10}|{B08}",5,35,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,6
"{B01,B02,B03,B04,B05,B06,B09,B10,B11}|{B07,B12}|{B08}",6,34,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",3,4
"{B01,B02,B03,B04,B05,B09,B10,B11,B12}|{B06,B07}|{B08}",6,34,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",3,4
"{B01,B02,B04,B05,B06,B07,B09,B10,B11,B12}|{B03}|{B08}",6,34,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",3,4
"{B01,B03,B04,B05,B07,B09,B10,B11,B12}|{B02,B06}|{B08}",6,34,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",3,4
"{B01,B02,B03,B04,B05,B06,B09,B10,B11}|{B07,B08}|{B12}",6,35,0.991176,"{""C"": 2, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",4,5
"{B01,B02,B03,B04,B05,B07,B08,B09,B10,B11}|{B06}|{B12}",6,35,0.994203,"{""C"": 3, ""B"": 2, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",4,5
"{B01,B02,B03,B04,B05,B09,B10,B11,B12}|{B06}|{B07,B08}",6,35,0.99922,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",4,5
"{B01,B02,B03,B04,B05,B06,B07,B11,B12}|{B08}|{B09,B10}",6,35,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 7, ""A"": 6}",3,5
"{B01,B02,B03,B04,B05,B06,B08,B09,B10,B11}|{B07}|{B12}",6,35,1.0,"{""C"": 2, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",4,5
"{B01,B02,B03,B04,B05,B08,B09,B10,B11,B12}|{B06}|{B07}",6,35,1.0,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",4,5
"{B01,B02,B04,B05,B06,B07,B08,B09,B10,B11}|{B03}|{B12}",6,35,1.0,"{""B"": 2, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",4,5
"{B01,B02,B04,B05,B07,B08,B09,B10,B11,B12}|{B03}|{B06}",6,35,1.0,"{""B"": 2, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",4,5
