partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B02,B03,B04,B05,B06,B07,B09,B10,B11,B12}|{B08}",3,30,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",3,3
"{B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11}|{B12}",4,32,1.0,"{""C"": 2, ""B"": 2, ""A"": 5}","{""C"": 4, ""B"": 4, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B12}|{B11}",4,32,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B08,B09,B11,B12}|{B10}",4,32,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B08,B10,B11,B12}|{B09}",4,32,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B08,B09,B10,B11,B12}|{B07}",4,32,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B09,B10,B11,B12}|{B07,B08}",4,32,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B07,B08,B09,B10,B11,B12}|{B06}",4,32,1.0,"{""C"": 3, ""B"": 2, ""A"": 4}","{""C"": 5, ""B"": 4, ""A"": 6}",4,4
"{B01,B02,B03,B05,B06,B07,B08,B09,B10,B11,B12}|{B04}",4,32,1.0,"{""C"": 3, ""B"": 2, ""A"": 4}","{""C"": 5, ""B"": 4, ""A"": 6}",4,4
"{B01,B02,B03,B05,B07,B08,B09,B10,B11,B12}|{B04,B06}",4,32,1.0,"{""C"": 3, ""B"": 2, ""A"": 4}","{""C"": 5, ""B"": 4, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B08,B09,B11,B12}|{B07,B10}",4,33,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 4, ""A"": 6}",5,5
"{B01,B02,B03,B04,B05,B06,B07,B08,B11,B12}|{B09,B10}",5,33,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B09,B10,B12}|{B08,B11}",5,33,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B09,B11,B12}|{B08,B10}",5,33,1.0,"{""C"": 2, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",4,4
"{B01,B02,B04,B05,B06,B07,B08,B09,B10,B11,B12}|{B03}",5,33,1.0,"{""B"": 2, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",4,4
"{B01,B02,B05,B07,B08,B09,B10,B11,B12}|{B03,B04,B06}",5,33,1.0,"{""B"": 2, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 6}",4,4
